"company","lat","lang"
"上安企業有限公司",22.68919,120.36112
"上富螺絲股份有限公司",22.82359,120.31451
"上興企業社",22.82332,120.31173
"上虹企業有限公司",22.74716,120.35762
"世暘工廠產業股份有限公司",22.81489,120.27168
"世曜實業社",22.80359,120.28999
"丞曜實業有限公司",22.81198,120.30873
"中立不鏽鋼有限公司",22.69008,120.36137
"久恩企業股份有限公司",22.69802,120.32854
"乙利企業有限公司",22.64079,120.38630
"亨金工業社",22.82515,120.32785
"佳立工程行",22.82350,120.31287
"侑城股份有限公司",22.89054,120.28828
"俞鑫企業有限公司",22.81934,120.31788
"信屹企業有限公司",22.68899,120.36163
"信誠螺帽工廠",22.82322,120.32883
"信越科技有限公司",22.64091,120.38371
"偉峰工程行",22.68919,120.36112
"偉文螺絲有限公司",22.81846,120.32637
"儀昌股份有限公司",22.82302,120.31870
"億成螺絲有限公司",22.82508,120.32793
"億隆模具企業社",22.82385,120.31665
"允通晟工業有限公司",22.82330,120.31137
"元佑里有限公司",22.82532,120.31977
"光越企業社",22.82408,120.31632
"全葳工業有限公司",22.82289,120.32168
"典威鋼鐵有限公司",22.68980,120.36070
"冠南機械工程行",22.64026,120.38405
"冠盈企業社",22.82333,120.31172
"劦發企業股份有限公司",22.81219,120.30517
"勝宏企業社",22.82331,120.31168
"勝暐企業有限公司",22.60184,120.43180
"卓世企業有限公司",22.64026,120.38405
"協晉紙器有限公司",22.82323,120.31162
"協聚德股份有限公司",22.64013,120.38350
"台明塗裝有限公司",22.74718,120.35841
"台灣翼帽股份有限公司",22.83249,120.28173
"合雄工業股份有限公司",22.57373,120.41752
"吉瞬興業有限公司",22.82174,120.31043
"同宥工具有限公司",22.81905,120.31937
"和泰璽玻璃纖維有限公司",22.80901,120.30335
"和盛吊車行",22.81669,120.31944
"喬亞有限公司",22.82398,120.31565
"國峰企業社",22.81920,120.31921
"國晉企業社",22.81247,120.30946
"國暉鑫企業有限公司",22.68980,120.36070
"國機冷凍工程股份有限公司",22.68923,120.36130
"國聯螺絲工業有限公司",22.79458,120.27325
"國育企業股份有限公司",22.82497,120.32609
"大方企業行",22.68958,120.36090
"大澤螺絲工業股份有限公司",22.82372,120.31480
"如柏工廠股份有限公司",22.82920,120.28315
"宇益螺絲有限公司",22.81668,120.32181
"安喬模具有限公司",22.81934,120.31788
"安鈜企業有限公司",22.81435,120.31859
"宏太企業有限公司",22.81620,120.32102
"宏穎企業股份有限公司",22.87086,120.26307
"弘興液壓科技有限公司",22.60734,120.42228
"宜辰企業社",22.68962,120.36094
"宸峰工程科技有限公司",22.79089,120.33966
"寶林鐵材有限公司",22.74719,120.35886
"寸真實業有限公司",22.82365,120.31429
"尚慶工程行",22.79652,120.26999
"尚文企業有限公司",22.88869,120.29500
"峻昇工廠股份有限公司",22.83346,120.28088
"巧達企業有限公司",22.82484,120.32745
"巨笛有限公司",22.84550,120.32787
"巽祥企業股份有限公司",22.81375,120.31749
"常舜有限公司",22.82332,120.31173
"廷茂企業有限公司",22.81915,120.31873
"建毓有限公司",22.68980,120.36070
"德宏恩企業股份有限公司",22.82212,120.32880
"惟達企業有限公司",22.81710,120.31937
"慶芫企業社",22.80483,120.30166
"承隆螺絲工業有限公司",22.82153,120.31502
"拓廣企業有限公司",22.82349,120.31676
"掌全企業有限公司",22.82332,120.31173
"敏佑股份有限公司",22.81620,120.32102
"文衡精密企業社",22.82332,120.31173
"新模螺絲股份有限公司",22.81979,120.31944
"昇記企業股份有限公司",22.81173,120.30864
"昇達鑫興業股份有限公司",22.83637,120.33634
"昌昇起重工程行",22.82104,120.30457
"明瞭螺絲工廠股份有限公司",22.82498,120.32693
"明禕有限公司",22.82555,120.31666
"明緯股份有限公司",22.82593,120.32149
"明軒螺絲有限公司",22.82332,120.31173
"易登盛實業有限公司",22.82316,120.31158
"易連工業股份有限公司",22.81905,120.31937
"易鐵企業股份有限公司",22.83776,120.33515
"昱勝企業行",22.81920,120.31920
"昱展企業社",22.82204,120.31646
"昱銘家電行",22.64028,120.38401
"昶成有限公司",22.74716,120.35762
"智富機械有限公司",22.81915,120.31873
"曜伸實業有限公司",22.82052,120.25778
"朝堂企業有限公司",22.57119,120.41932
"東遠電機有限公司",22.60012,120.42420
"東陽精密模具股份有限公司",22.82394,120.31541
"東騰螺絲有限公司",22.81620,120.32102
"林裕工廠股份有限公司",22.84285,120.33217
"欣釜企業有限公司",22.74717,120.35796
"正新螺絲工廠股份有限公司",22.81977,120.31633
"毅隆精工企業有限公司",22.64029,120.38405
"永傑企業社",22.86262,120.29688
"永和精工有限公司",22.81669,120.31944
"永銓螺絲有限公司",22.82104,120.32097
"永鑫特殊鋼股份有限公司",22.74715,120.35762
"浲富企業有限公司",22.82350,120.31287
"添誠捲門材料行",22.69733,120.32962
"灃盛實業股份有限公司",22.79739,120.26806
"煜瀛企業股份有限公司",22.58039,120.41344
"玉宗股份有限公司",22.79361,120.33958
"瑞方企業股份有限公司",22.79458,120.27325
"璟瑞企業股份有限公司",22.82201,120.32890
"甫商有限公司",22.82253,120.30798
"異萊精密企業有限公司",22.81922,120.31896
"當代企業社",22.68958,120.36090
"百誠工業股份有限公司",22.79458,120.27325
"皇晉工業有限公司",22.82513,120.31410
"石安金屬有限公司",22.81533,120.31784
"祥義皮革股份有限公司",22.64091,120.38371
"福輝螺絲工廠股份有限公司",22.82378,120.31655
"禾鏵實業有限公司",22.64091,120.38371
"立州機械有限公司",22.84433,120.30583
"立盛昌股份有限公司",22.80901,120.30335
"紅山開發工程有限公司",22.69810,120.32841
"經揚企業有限公司",22.81111,120.30961
"義昇螺絲有限公司",22.82332,120.31173
"耀升企業社",22.84585,120.32566
"至盈實業股份有限公司",22.81905,120.31937
"興吉企業行",22.68962,120.36094
"舜倡發企業股份有限公司",22.83860,120.33443
"艾伯斯實業有限公司",22.81727,120.31958
"茂宥工具股份有限公司",22.81971,120.31506
"華欣企業行",22.64028,120.38401
"萬淵（毅）企業股份有限公司",22.83747,120.27785
"融威企業股份有限公司",22.81618,120.31933
"裕緯有限公司",22.68919,120.36112
"見春企業社",22.81915,120.31873
"詠鋒精密有限公司",22.82372,120.31480
"誠兌工業股份有限公司",22.60281,120.43176
"譽翰實業有限公司",22.68980,120.36070
"豐譯企業社",22.82125,120.31282
"豐達企業社",22.82332,120.31173
"豪楹企業社",22.82125,120.31282
"豪茂螺帽工廠股份有限公司",22.82408,120.31632
