"count","city","county","road","number","type","type2","area","area2","GeoJson"
1,"高雄市","岡山區","華崗段","597","特定農業區","農牧用地",862,862,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31647480753,22.824354808707],[120.31621021973,22.824323367216],[120.31626166819,22.823964242931],[120.31641251761,22.823980612956],[120.31647480753,22.824354808707]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":5970000,""ymax"":22.824354808707,""ymin"":22.823964242931,""xmax"":120.31647480753,""xmin"":120.31621021973,""xcenter"":120.31634251363,""ycenter"":22.824159525819}}]}"
2,"高雄市","岡山區","華崗段","598","特定農業區","農牧用地",996,996,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31621021973,22.824323367216],[120.31596970794,22.824294763047],[120.31602090096,22.823937688548],[120.31626166819,22.823964242931],[120.31621021973,22.824323367216]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":5980000,""ymax"":22.824323367216,""ymin"":22.823937688548,""xmax"":120.31626166819,""xmin"":120.31596970794,""xcenter"":120.31611568806,""ycenter"":22.824130527882}}]}"
3,"高雄市","岡山區","華崗段","599","特定農業區","農牧用地",495,495,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31596970794,22.824294763047],[120.31584982138,22.824280348479],[120.31590100786,22.823924641195],[120.31602090096,22.823937688548],[120.31596970794,22.824294763047]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":5990000,""ymax"":22.824294763047,""ymin"":22.823924641195,""xmax"":120.31602090096,""xmin"":120.31584982138,""xcenter"":120.31593536117,""ycenter"":22.824109702121}}]}"
4,"高雄市","岡山區","華崗段","599-1","特定農業區","農牧用地",493,493,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31590100786,22.823924641195],[120.31584982138,22.824280348479],[120.31572845997,22.824265927487],[120.31577792153,22.823911124305],[120.31578086899,22.823911592695],[120.31590100786,22.823924641195]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":5990001,""ymax"":22.824280348479,""ymin"":22.823911124305,""xmax"":120.31590100786,""xmin"":120.31572845997,""xcenter"":120.31581473392,""ycenter"":22.824095736392}}]}"
5,"高雄市","岡山區","華崗段","600","特定農業區","農牧用地",1019,1019,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31572845997,22.824265927487],[120.31547664791,22.824235906849],[120.31552732094,22.823884754821],[120.31577792153,22.823911124305],[120.31572845997,22.824265927487]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6000000,""ymax"":22.824265927487,""ymin"":22.823884754821,""xmax"":120.31577792153,""xmin"":120.31547664791,""xcenter"":120.31562728472,""ycenter"":22.824075341154}}]}"
6,"高雄市","岡山區","華崗段","601","特定農業區","農牧用地",1015,1015,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31552732094,22.823884754821],[120.31547664791,22.824235906849],[120.31522606503,22.824205891097],[120.31527501232,22.823855871075],[120.31536639579,22.823867884935],[120.31552732094,22.823884754821]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6010000,""ymax"":22.824235906849,""ymin"":22.823855871075,""xmax"":120.31552732094,""xmin"":120.31522606503,""xcenter"":120.31537669299,""ycenter"":22.824045888962}}]}"
7,"高雄市","岡山區","華崗段","602","特定農業區","農牧用地",978,978,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31522606503,22.824205891097],[120.31498407997,22.824177051249],[120.31503402592,22.823824073344],[120.31527501232,22.823855871075],[120.31522606503,22.824205891097]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6020000,""ymax"":22.824205891097,""ymin"":22.823824073344,""xmax"":120.31527501232,""xmin"":120.31498407997,""xcenter"":120.31512954615,""ycenter"":22.824014982221}}]}"
8,"高雄市","岡山區","華崗段","603","特定農業區","農牧用地",986,986,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31498407997,22.824177051249],[120.3147418492,22.824148209978],[120.31479131669,22.823792723574],[120.31503402592,22.823824073344],[120.31498407997,22.824177051249]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6030000,""ymax"":22.824177051249,""ymin"":22.823792723574,""xmax"":120.31503402592,""xmin"":120.3147418492,""xcenter"":120.31488793756,""ycenter"":22.823984887411}}]}"
9,"高雄市","岡山區","華崗段","604","特定農業區","農牧用地",558,558,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31479131669,22.823792723574],[120.3147418492,22.824148209978],[120.31460722223,22.824132136021],[120.31465719537,22.823773917446],[120.31477559507,22.823790605169],[120.31479131669,22.823792723574]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6040000,""ymax"":22.824148209978,""ymin"":22.823773917446,""xmax"":120.31479131669,""xmin"":120.31460722223,""xcenter"":120.31469926946,""ycenter"":22.823961063712}}]}"
10,"高雄市","岡山區","華崗段","650","特定農業區","農牧用地",1107,1107,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""MultiPolygon"",""coordinates"":[[[[120.31440954606,22.824189163584],[120.31441618475,22.824139745187],[120.31451248796,22.824151097109],[120.31440590159,22.824916952462],[120.31440954606,22.824189163584]]],[[[120.31440434865,22.824196205072],[120.31440473335,22.824364827702],[120.31440224521,22.824910784343],[120.31436961498,22.825143523147],[120.31427699485,22.825132870575],[120.31440434865,22.824196205072]]]]},""properties"":{""縣市"":""高雄市"",""鄉鎮"":""岡山區"",""段名"":""華崗段"",""地號"":6500000,""ymax"":22.825143523147,""ymin"":22.824139745187,""xmax"":120.31451248796,""xmin"":120.31427699485,""xcenter"":120.31439474141,""ycenter"":22.824641634167}}]}"
